[  193.200104] BUG: scheduling while atomic: python3/493/0x00000000
[  193.584186] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.586996] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.590245] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.593099] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.595554] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.598409] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.600846] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.604553] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.607324] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.608354] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.612696] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.622591] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.625016] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.631220] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.634809] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.635458] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.636042] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.636547] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.637190] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.639128] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.644554] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.651392] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.652438] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.653026] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.654514] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.655584] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.663188] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.667899] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.668729] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.670707] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.672369] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.675213] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.676573] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.678225] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.679560] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.683906] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.690214] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
