2025-09-29 14:50:01, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 9, Flipped 2835436019, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000046', 'raw_match': '[  200.016682]   ESR = 0x96000046'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-09-29 14:53:23, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 10, Flipped 2835437555, [+] System running normally
2025-09-29 14:53:25, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 11, Flipped 2835438579, [+] System running normally
2025-09-29 14:53:27, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 12, Flipped 2835432435, [+] System running normally
2025-09-29 14:53:29, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 13, Flipped 2835444723, [+] System running normally
2025-09-29 14:53:31, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 14, Flipped 2835420147, [+] System running normally
2025-09-29 14:53:33, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 15, Flipped 2835469299, [+] System running normally
2025-09-29 14:53:35, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 16, Flipped 2835370995, [+] System running normally
2025-09-29 14:53:37, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 17, Flipped 2835567603, [+] System running normally
2025-09-29 14:53:39, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 18, Flipped 2835698675, [+] System running normally
2025-09-29 14:53:41, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 19, Flipped 2835960819, [+] System running normally
2025-09-29 14:53:43, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 20, Flipped 2836485107, [+] System running normally
2025-09-29 14:53:45, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 21, Flipped 2837533683, [+] System running normally
2025-09-29 14:53:47, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 22, Flipped 2839630835, [+] System running normally
2025-09-29 14:53:49, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 23, Flipped 2843825139, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x8600000f', 'raw_match': '[  220.707017]   ESR = 0x8600000f'}, {'EC': '0x21 / Instruction Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-09-29 14:57:11, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 24, Flipped 2818659315, [+] System running normally
2025-09-29 14:57:13, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 25, Flipped 2868990963, [+] System running normally
2025-09-29 14:57:15, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 26, Flipped 2902545395, [+] System running normally
2025-09-29 14:57:17, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 27, Flipped 2701218803, [+] System running normally
2025-09-29 14:57:20, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 28, Flipped 3103871987, [+] System running normally
